PM2.5,PM10,SO2,NO2,CO,O3,Skor,year,month,day,Datetime
7.12,10.75,11.71,22.58,429.17,63.88,90.87,2013.0,3.0,1.0,2013-03-01
30.75,42.08,36.62,66.67,824.92,29.75,171.8,2013.0,3.0,2.0,2013-03-02
76.92,120.54,61.29,81.0,1620.62,19.12,329.92,2013.0,3.0,3.0,2013-03-03
22.71,44.58,22.64,47.47,644.29,53.75,139.24,2013.0,3.0,4.0,2013-03-04
148.88,183.79,93.88,132.83,2357.96,68.46,497.63,2013.0,3.0,5.0,2013-03-05
223.25,265.17,116.24,142.06,3031.46,19.75,632.99,2013.0,3.0,6.0,2013-03-06
263.38,316.08,97.54,147.75,3632.88,38.83,749.41,2013.0,3.0,7.0,2013-03-07
221.46,297.96,66.43,116.36,2471.58,79.33,542.19,2013.0,3.0,8.0,2013-03-08
62.04,206.88,33.33,45.0,1178.96,73.92,266.69,2013.0,3.0,9.0,2013-03-09
34.29,68.92,22.92,49.67,708.33,82.67,161.13,2013.0,3.0,10.0,2013-03-10
123.79,178.29,86.88,90.67,1670.75,75.25,370.94,2013.0,3.0,11.0,2013-03-11
122.79,117.17,27.5,72.88,1619.21,36.58,332.69,2013.0,3.0,12.0,2013-03-12
16.04,19.33,16.25,36.08,504.17,71.88,110.62,2013.0,3.0,13.0,2013-03-13
95.17,107.29,51.92,70.38,1337.29,68.92,288.5,2013.0,3.0,14.0,2013-03-14
212.29,250.62,75.58,99.42,2116.5,44.21,466.44,2013.0,3.0,15.0,2013-03-15
244.88,257.92,70.12,90.38,2135.66,66.67,477.6,2013.0,3.0,16.0,2013-03-16
284.54,309.67,73.67,113.88,2558.0,96.54,572.72,2013.0,3.0,17.0,2013-03-17
70.67,118.04,19.62,46.17,866.58,89.04,201.69,2013.0,3.0,18.0,2013-03-18
41.0,49.12,16.5,49.17,935.03,22.78,185.6,2013.0,3.0,19.0,2013-03-19
48.92,47.79,12.5,41.54,920.83,32.08,183.94,2013.0,3.0,20.0,2013-03-20
148.96,161.75,21.67,85.75,1454.04,11.88,314.01,2013.0,3.0,21.0,2013-03-21
90.42,144.58,26.04,70.38,979.12,33.92,224.08,2013.0,3.0,22.0,2013-03-22
52.75,88.67,29.71,57.62,1280.04,30.47,256.54,2013.0,3.0,23.0,2013-03-23
18.54,37.62,12.21,35.5,1262.95,53.6,236.74,2013.0,3.0,24.0,2013-03-24
102.25,143.33,52.5,87.25,1241.92,43.84,278.52,2013.0,3.0,25.0,2013-03-25
187.46,251.33,75.08,106.29,1704.91,14.29,389.89,2013.0,3.0,26.0,2013-03-26
91.62,122.92,19.73,42.96,901.0,43.71,203.66,2013.0,3.0,27.0,2013-03-27
28.33,54.79,12.67,39.83,595.79,57.92,131.55,2013.0,3.0,28.0,2013-03-28
87.88,140.42,47.17,88.5,1538.33,16.92,319.87,2013.0,3.0,29.0,2013-03-29
79.54,111.17,62.08,68.21,1666.46,33.67,336.86,2013.0,3.0,30.0,2013-03-30
174.25,194.0,14.62,72.67,1333.0,3.0,298.59,2013.0,3.0,31.0,2013-03-31
94.92,112.58,17.12,39.08,1208.17,51.04,253.82,2013.0,4.0,1.0,2013-04-01
99.58,140.54,40.0,68.96,1281.66,53.34,280.68,2013.0,4.0,2.0,2013-04-02
124.17,204.58,50.75,87.71,1454.04,46.0,327.88,2013.0,4.0,3.0,2013-04-03
66.67,110.75,62.12,84.58,2223.12,21.35,428.1,2013.0,4.0,4.0,2013-04-04
54.67,49.58,12.04,41.08,1179.04,37.29,228.95,2013.0,4.0,5.0,2013-04-05
11.0,23.08,7.71,27.04,458.33,58.79,97.66,2013.0,4.0,6.0,2013-04-06
79.25,126.83,41.67,71.88,1254.08,32.71,267.74,2013.0,4.0,7.0,2013-04-07
25.83,123.83,7.62,21.38,450.0,67.54,116.03,2013.0,4.0,8.0,2013-04-08
11.79,28.92,5.71,14.42,408.33,76.46,90.94,2013.0,4.0,9.0,2013-04-09
12.75,30.0,6.58,32.46,500.0,57.32,106.52,2013.0,4.0,10.0,2013-04-10
22.92,63.71,10.64,61.53,796.91,39.76,165.91,2013.0,4.0,11.0,2013-04-11
53.83,135.04,23.48,87.8,863.58,26.35,198.35,2013.0,4.0,12.0,2013-04-12
61.58,136.79,27.21,53.5,754.17,40.96,179.04,2013.0,4.0,13.0,2013-04-13
34.88,109.38,13.88,41.5,637.5,58.96,149.35,2013.0,4.0,14.0,2013-04-14
74.71,181.96,50.54,74.29,1399.83,44.54,304.31,2013.0,4.0,15.0,2013-04-15
57.04,161.08,33.33,47.86,979.08,56.77,222.53,2013.0,4.0,16.0,2013-04-16
47.96,90.38,20.88,52.71,683.33,57.29,158.76,2013.0,4.0,17.0,2013-04-17
11.04,42.42,4.43,28.93,390.12,67.3,90.71,2013.0,4.0,18.0,2013-04-18
49.58,86.96,20.71,56.42,758.33,36.29,168.05,2013.0,4.0,19.0,2013-04-19
69.58,83.62,11.12,55.12,691.67,45.92,159.5,2013.0,4.0,20.0,2013-04-20
127.04,159.62,28.96,71.17,1111.53,51.68,258.33,2013.0,4.0,21.0,2013-04-21
172.71,183.38,46.61,66.92,1177.58,47.79,282.5,2013.0,4.0,22.0,2013-04-22
183.83,191.79,28.08,62.25,1195.75,16.0,279.62,2013.0,4.0,23.0,2013-04-23
89.04,116.79,14.79,39.58,887.46,36.79,197.41,2013.0,4.0,24.0,2013-04-24
12.17,39.08,5.71,39.21,425.0,50.5,95.28,2013.0,4.0,25.0,2013-04-25
65.12,150.04,35.06,77.72,1040.08,42.81,235.14,2013.0,4.0,26.0,2013-04-26
64.5,128.5,44.99,66.83,1055.86,75.42,239.35,2013.0,4.0,27.0,2013-04-27
71.96,118.92,55.0,60.29,1616.46,74.17,332.8,2013.0,4.0,28.0,2013-04-28
14.62,61.5,6.92,24.12,622.53,79.74,134.9,2013.0,4.0,29.0,2013-04-29
17.79,54.46,7.5,43.5,379.17,65.04,94.58,2013.0,4.0,30.0,2013-04-30
35.12,91.25,20.5,47.88,594.29,55.98,140.84,2013.0,5.0,1.0,2013-05-01
80.34,127.38,44.29,64.08,999.92,59.21,229.2,2013.0,5.0,2.0,2013-05-02
85.17,75.67,27.38,30.38,670.83,104.58,165.67,2013.0,5.0,3.0,2013-05-03
101.96,121.42,29.54,37.21,637.5,92.54,170.03,2013.0,5.0,4.0,2013-05-04
197.42,241.88,47.54,72.17,1366.62,78.38,334.0,2013.0,5.0,5.0,2013-05-05
221.38,253.79,34.83,50.25,1410.91,111.07,347.04,2013.0,5.0,6.0,2013-05-06
178.67,230.75,51.79,85.79,1404.08,92.38,340.58,2013.0,5.0,7.0,2013-05-07
130.04,160.08,73.12,65.04,1365.04,75.28,311.43,2013.0,5.0,8.0,2013-05-08
52.0,68.17,21.83,62.88,527.62,44.42,129.49,2013.0,5.0,9.0,2013-05-09
50.96,98.79,16.58,59.5,545.83,57.08,138.12,2013.0,5.0,10.0,2013-05-10
43.08,133.17,20.67,71.17,552.62,44.12,144.14,2013.0,5.0,11.0,2013-05-11
36.0,105.71,22.92,63.42,520.83,57.79,134.45,2013.0,5.0,12.0,2013-05-12
85.83,181.92,69.79,87.58,1595.62,69.29,348.34,2013.0,5.0,13.0,2013-05-13
49.08,121.0,20.79,50.46,687.42,80.04,168.13,2013.0,5.0,14.0,2013-05-14
63.21,161.0,64.79,65.71,1383.25,95.96,305.65,2013.0,5.0,15.0,2013-05-15
123.42,118.08,34.42,61.46,881.75,88.07,217.87,2013.0,5.0,16.0,2013-05-16
105.33,138.92,33.5,53.33,1233.12,89.0,275.53,2013.0,5.0,17.0,2013-05-17
119.54,154.79,20.83,52.54,1104.04,68.71,253.41,2013.0,5.0,18.0,2013-05-18
56.21,172.29,11.46,26.33,512.5,58.43,139.54,2013.0,5.0,19.0,2013-05-19
38.96,145.46,21.0,50.25,863.26,73.66,198.76,2013.0,5.0,20.0,2013-05-20
97.08,238.75,44.71,78.58,1262.95,101.7,303.96,2013.0,5.0,21.0,2013-05-21
